
////数据总结  graph52 排队延迟
遗传算法1效果差
遗传算法2还可以 
还有 一点TE独裁效果不必纳什博弈差
/////////
TEvsOR    博弈:
0.250000	5.084235
0.475000	10.282866
0.433333	9.472520
0.466667	9.969598
0.350000	7.530451
0.350000	7.085755
0.433333	9.828248
0.327273	6.668688
0.327273	7.051199
0.400000	8.931502
0.350000	7.714802
0.466667	10.239638
0.327273	6.668688
0.327273	7.051199
0.400000	8.931502
0.350000	7.714802
0.466667	10.239638
0.327273	6.668688
0.327273	7.051199
0.400000	8.931502
0.350000	7.714802
0.466667	10.239638
0.327273	6.668688
0.327273	7.051199
0.400000	8.931502
0.350000	7.714802
0.466667	10.239638
0.327273	6.668688
0.327273	7.051199
0.400000	8.931502


TE dictator
0.250000	5.640165

Overlay dictator
3.265841	0.600000



遗传算法1
0.350000	0.300000	4.498676

遗传算法2
0.333333	0.333333	3.853935

TEvsOR    博弈:
0.300000	6.426007
0.425000	10.462863
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451
0.325000	7.472451


TE dictator
0.300000	6.938607

Overlay dictator
4.766480	0.900000



遗传算法1
0.400000	0.400000	8.906201

遗传算法2
0.350000	0.350000	6.080718

TEvsOR    博弈:
0.300000	5.721329
0.366667	6.752698
0.600000	13.309688
0.466667	11.828589
0.700000	17.437957
0.300000	5.506142
0.500000	11.839046
0.333333	6.992254
0.300000	6.708495
0.333333	7.804523
0.500000	9.950295
0.566667	8.536374
0.300000	6.742666
0.300000	6.895352
0.666667	17.479859
0.333333	7.035356
0.500000	9.401373
0.733333	15.529087
0.333333	7.035356
0.500000	9.401373
0.733333	15.529087
0.333333	7.035356
0.500000	9.401373
0.733333	15.529087
0.333333	7.035356
0.500000	9.401373
0.733333	15.529087
0.333333	7.035356
0.500000	9.401373
0.733333	15.529087


TE dictator
0.300000	6.896872

Overlay dictator
3.843133	0.800000



遗传算法1
0.466667	0.375000	6.284881

遗传算法2
0.400000	0.400000	4.306954

TEvsOR    博弈:
0.400000	9.394545
0.400000	8.292670
0.625000	13.545193
0.400000	7.538087
0.575000	11.795060
0.566667	13.937128
0.400000	10.176629
0.500000	15.429309
0.400000	11.054287
0.466667	11.804065
0.700000	17.319955
0.400000	6.943639
0.500000	10.602020
0.466667	10.909318
0.400000	8.935776
0.875000	21.625578
0.475000	9.878282
0.400000	8.873423
0.525000	11.512823
0.466667	9.905020
0.525000	10.502759
0.525000	10.106847
0.525000	10.502759
0.525000	10.106847
0.525000	10.502759
0.525000	10.106847
0.525000	10.502759
0.525000	10.106847
0.525000	10.502759
0.525000	10.106847


TE dictator
0.400000	9.759317

Overlay dictator
5.048512	0.650000



遗传算法1
0.400000	0.400000	9.229738

遗传算法2
0.400000	0.400000	5.837186

TEvsOR    博弈:
0.350000	8.000092
0.700000	14.509537
0.466667	9.944282
0.466667	11.185091
0.466667	11.028092
0.766667	22.246343
0.500000	12.438616
0.500000	15.076446
0.700000	21.027700
0.500000	13.943345
0.500000	12.327220
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672
0.666667	19.629690
0.500000	13.495672


TE dictator
0.350000	8.978642

Overlay dictator
4.408601	0.800000



遗传算法1
0.400000	0.400000	8.577294

遗传算法2
0.450000	0.450000	5.396308

