TEvsOR    ²©ÞÄ:
0.107143	361.000000
0.413793	533.000000
0.298851	344.000000
0.532609	308.000000
0.510870	346.000000
0.505747	628.000000
0.173913	467.000000
0.252874	620.000000
0.358696	435.000000
0.298851	514.000000
0.298851	519.000000
0.241379	547.000000
0.265060	657.000000
0.229885	544.000000
0.241379	490.000000
0.379310	504.000000
0.379310	707.000000
0.298851	548.000000
0.275862	523.000000
0.218391	663.000000
0.218391	395.000000
0.367816	584.000000
0.356322	513.000000
0.228916	555.000000
0.228916	645.000000
0.310345	770.000000
0.252874	538.000000
0.277778	375.000000
0.528736	504.000000
0.241379	506.000000
0.448276	644.000000
0.233333	358.000000
0.356322	726.000000
0.277778	505.000000
0.436782	840.000000
0.195402	591.000000
0.277778	500.000000
0.333333	510.000000
0.367816	619.000000
0.388889	604.000000
0.277778	443.000000
0.277778	507.000000
0.277778	389.000000
0.277778	540.000000
0.277778	568.000000
0.436782	734.000000
0.413793	594.000000
0.321839	467.000000
0.366667	546.000000
0.298851	486.000000


TE dictator
0.107143	517.000000	

Overlay dictator
96.000000	0.782609


ÒÅ´«Ëã·¨2
0.404762	159.000000


TEvsOR    ²©ÞÄ:
0.142857	313.000000
0.282609	411.000000
0.241379	560.000000
0.160920	531.000000
0.183908	406.000000
0.195652	481.000000
0.434783	243.000000
0.467391	545.000000
0.206522	391.000000
0.184783	375.000000
0.239130	228.000000
0.315217	471.000000
0.304348	550.000000
0.217391	455.000000
0.298851	521.000000
0.206522	625.000000
0.173913	370.000000
0.271739	374.000000
0.298851	526.000000
0.228261	508.000000
0.369565	256.000000
0.293478	506.000000
0.271739	461.000000
0.250000	596.000000
0.206897	641.000000
0.173913	332.000000
0.304348	651.000000
0.172414	459.000000
0.217391	452.000000
0.142857	520.000000
0.183908	594.000000
0.173913	492.000000
0.358696	619.000000
0.184783	570.000000
0.229885	529.000000
0.183908	434.000000
0.336957	519.000000
0.304348	515.000000
0.333333	702.000000
0.217391	510.000000
0.264368	656.000000
0.298851	682.000000
0.260870	751.000000
0.217391	492.000000
0.217391	460.000000
0.260870	550.000000
0.206897	526.000000
0.321839	539.000000
0.275862	649.000000
0.380435	520.000000


TE dictator
0.142857	407.000000	

Overlay dictator
96.000000	1.000000



ÒÅ´«Ëã·¨2
0.285714	167.000000




TEvsOR    ²©ÞÄ:
0.091954	553.000000
0.206522	447.000000
0.173913	488.000000
0.315217	421.000000
0.282609	596.000000
0.250000	376.000000
0.172414	609.000000
0.180723	523.000000
0.200000	582.000000
0.255556	556.000000
0.218391	508.000000
0.228916	430.000000
0.358696	409.000000
0.217391	584.000000
0.172414	548.000000
0.200000	433.000000
0.163043	471.000000
0.195652	518.000000
0.200000	548.000000
0.229885	352.000000
0.220000	454.000000
0.220000	514.000000
0.183908	372.000000
0.229885	573.000000
0.241379	678.000000
0.183908	517.000000
0.326087	447.000000
0.195652	552.000000
0.152174	421.000000
0.195652	516.000000
0.220000	450.000000
0.310000	593.000000
0.420000	498.000000
0.290000	624.000000
0.202020	561.000000
0.349398	610.000000
0.173913	425.000000
0.292929	474.000000
0.400000	653.000000
0.271739	412.000000
0.183908	495.000000
0.271739	500.000000
0.271739	545.000000
0.217391	469.000000
0.271739	253.000000
0.173913	467.000000
0.271739	471.000000
0.271739	457.000000
0.217391	497.000000
0.271739	552.000000


TE dictator
0.091954	600.000000	553.000000

Overlay dictator
97.000000	0.869565


ÒÅ´«Ëã·¨2
0.478261	0.453125	166.000000

TEvsOR    ²©ÞÄ:
0.103896	429.000000
0.103896	499.000000
0.195402	509.000000
0.240000	629.000000
0.126437	423.000000
0.244444	656.000000
0.218391	483.000000
0.160920	440.000000
0.212121	362.000000
0.356322	580.000000
0.220000	484.000000
0.321839	594.000000
0.233333	481.000000
0.310345	501.000000
0.206897	534.000000
0.280000	680.000000
0.275862	649.000000
0.210000	696.000000
0.290000	615.000000
0.240000	521.000000
0.218391	447.000000
0.206897	587.000000
0.264368	788.000000
0.220779	488.000000
0.300000	288.000000
0.250000	498.000000
0.367816	579.000000
0.379310	816.000000
0.233333	373.000000
0.367816	646.000000
0.200000	564.000000
0.241379	652.000000
0.200000	543.000000
0.377778	558.000000
0.290000	520.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000
0.290000	631.000000


TE dictator
0.103896	432.000000	429.000000

Overlay dictator
99.000000	1.000000


ÒÅ´«Ëã·¨2
0.448276	0.363636	160.000000

TEvsOR    ²©ÞÄ:
0.142857	265.000000
0.172414	326.000000
0.195652	457.000000
0.163043	407.000000
0.241379	519.000000
0.264368	498.000000
0.163043	368.000000
0.149425	405.000000
0.310345	573.000000
0.321839	543.000000
0.183908	495.000000
0.172414	518.000000
0.206897	703.000000
0.172414	443.000000
0.425287	491.000000
0.229885	505.000000
0.172414	480.000000
0.271739	565.000000
0.195402	436.000000
0.287356	534.000000
0.210000	421.000000
0.264368	490.000000
0.425287	622.000000
0.241379	483.000000
0.356322	595.000000
0.393939	409.000000
0.287356	753.000000
0.183908	388.000000
0.252874	379.000000
0.315217	515.000000
0.253012	638.000000
0.218391	476.000000
0.264368	497.000000
0.356322	584.000000
0.172414	481.000000
0.241379	541.000000
0.229885	499.000000
0.195402	435.000000
0.275862	419.000000
0.172414	529.000000
0.155556	562.000000
0.195402	551.000000
0.347826	394.000000
0.304348	582.000000
0.293478	419.000000
0.229885	578.000000
0.241379	489.000000
0.253012	598.000000
0.287356	517.000000
0.163043	338.000000


TE dictator
0.142857	283.000000	

Overlay dictator
98.000000	0.714286


ÒÅ´«Ëã·¨2
0.380952	164.000000




TEvsOR    ²©ÞÄ:
0.150000	147.000000
0.350000	249.000000
0.175000	126.000000
0.233333	155.000000
0.450000	200.000000
0.200000	202.000000
0.266667	206.000000
0.275000	213.000000
0.266667	237.000000
0.300000	193.000000
0.350000	207.000000
0.266667	199.000000
0.350000	179.000000
0.375000	253.000000
0.233333	130.000000
0.333333	222.000000
0.200000	152.000000
0.333333	235.000000
0.175000	175.000000
0.200000	188.000000
0.233333	209.000000
0.275000	239.000000
0.266667	125.000000
0.333333	198.000000
0.333333	224.000000
0.350000	189.000000
0.333333	277.000000
0.250000	153.000000
0.375000	246.000000
0.550000	217.000000
0.275000	187.000000
0.350000	208.000000
0.275000	279.000000
0.425000	245.000000
0.200000	181.000000
0.275000	162.000000
